_init,"[('0x8066ea4', '0x80670ae', 'OPENSSL_cpuid_setup', 'local_function', 'function'), ('0x804c050', '0x804c054', '__x86.get_pc_thunk.bx', 'local_function', 'function'), ('0x804a820', '0x804a848', '_init', 'local_function', 'function'), ('0x804b530', '0x804b536', '__gmon_start__', 'local_function', 'function')]"
rename_logg,"[('UNKNOWN', -1), ('0x804cb60', '0x804cce8', 'rename_logg', 'local_function', 'function'), ('0x804b000', '0x804b006', 'strcpy', 'local_function', 'function'), ('0x804cb60', '0x804cce8', 'rename_logg', 'local_function', 'function'), ('0x8312228', '0x83168dc', '.bss', 'bss', 'unknown'), ('0x8312228', '0x83168dc', '.bss', 'bss', 'unknown'), ('0x804cb60', '0x804cce8', 'rename_logg', 'local_function', 'function'), ('UNKNOWN', -1), ('0x804cb60', '0x804cce8', 'rename_logg', 'local_function', 'function'), ('0x804cb60', '0x804cce8', 'rename_logg', 'local_function', 'function'), ('0x804ab20', '0x804ab26', 'calloc', 'local_function', 'function'), ('UNKNOWN', -1), ('UNKNOWN', -1), ('0x804cb60', '0x804cce8', 'rename_logg', 'local_function', 'function'), ('0x804b0e0', '0x804b0e6', 'fwrite', 'local_function', 'function'), ('0x804b430', '0x804b436', 'strftime', 'local_function', 'function'), ('0x8312228', '0x83168dc', '.bss', 'bss', 'unknown'), ('0x804cb60', '0x804cce8', 'rename_logg', 'local_function', 'function'), ('0x8312228', '0x83168dc', '.bss', 'bss', 'unknown'), ('0x804a8f0', '0x804a8f6', 'localtime_r', 'local_function', 'function'), ('UNKNOWN', -1), ('0x804abc0', '0x804abc6', 'rename', 'local_function', 'function'), ('0x8312228', '0x83168dc', '.bss', 'bss', 'unknown')]"
sub_804cce8,[]
my_getopt,"[('0x804ccf0', '0x804d140', 'my_getopt', 'local_function', 'function'), ('0x8312228', '0x83168dc', '.bss', 'bss', 'unknown'), ('0x804ccf0', '0x804d140', 'my_getopt', 'local_function', 'function'), ('0x8312228', '0x83168dc', '.bss', 'bss', 'unknown'), ('0x804ccf0', '0x804d140', 'my_getopt', 'local_function', 'function'), ('0x8312228', '0x83168dc', '.bss', 'bss', 'unknown'), ('0x804ccf0', '0x804d140', 'my_getopt', 'local_function', 'function'), ('0x804ccf0', '0x804d140', 'my_getopt', 'local_function', 'function'), ('0x804ccf0', '0x804d140', 'my_getopt', 'local_function', 'function'), ('0x804ccf0', '0x804d140', 'my_getopt', 'local_function', 'function'), ('0x804ab10', '0x804ab16', 'getenv', 'local_function', 'function'), ('0x804ccf0', '0x804d140', 'my_getopt', 'local_function', 'function'), ('0x804ccf0', '0x804d140', 'my_getopt', 'local_function', 'function'), ('0x804ccf0', '0x804d140', 'my_getopt', 'local_function', 'function'), ('0x804ccf0', '0x804d140', 'my_getopt', 'local_function', 'function'), ('0x8312228', '0x83168dc', '.bss', 'bss', 'unknown'), ('0x804ccf0', '0x804d140', 'my_getopt', 'local_function', 'function'), ('0x804ccf0', '0x804d140', 'my_getopt', 'local_function', 'function'), ('0x804ccf0', '0x804d140', 'my_getopt', 'local_function', 'function'), ('0x804ccf0', '0x804d140', 'my_getopt', 'local_function', 'function'), ('0x804ccf0', '0x804d140', 'my_getopt', 'local_function', 'function'), ('0x804ccf0', '0x804d140', 'my_getopt', 'local_function', 'function'), ('0x804ccf0', '0x804d140', 'my_getopt', 'local_function', 'function'), ('0x804ccf0', '0x804d140', 'my_getopt', 'local_function', 'function'), ('0x804ccf0', '0x804d140', 'my_getopt', 'local_function', 'function'), ('0x804ccf0', '0x804d140', 'my_getopt', 'local_function', 'function'), ('0x804ccf0', '0x804d140', 'my_getopt', 'local_function', 'function'), ('0x804ccf0', '0x804d140', 'my_getopt', 'local_function', 'function'), ('0x804ccf0', '0x804d140', 'my_getopt', 'local_function', 'function'), ('0x804ccf0', '0x804d140', 'my_getopt', 'local_function', 'function'), ('UNKNOWN', -1), ('0x804ccf0', '0x804d140', 'my_getopt', 'local_function', 'function'), ('0x804ccf0', '0x804d140', 'my_getopt', 'local_function', 'function'), ('0x804ccf0', '0x804d140', 'my_getopt', 'local_function', 'function')]"
my_getopt_long,"[('0x804d170', '0x804d6f7', '_getopt_internal', 'local_function', 'function')]"
sub_804d162,[]
_getopt_internal,"[('0x804d170', '0x804d6f7', '_getopt_internal', 'local_function', 'function'), ('0x8312228', '0x83168dc', '.bss', 'bss', 'unknown'), ('0x804d170', '0x804d6f7', '_getopt_internal', 'local_function', 'function'), ('0x804d170', '0x804d6f7', '_getopt_internal', 'local_function', 'function'), ('0x8312228', '0x83168dc', '.bss', 'bss', 'unknown'), ('0x804d170', '0x804d6f7', '_getopt_internal', 'local_function', 'function'), ('0x804d170', '0x804d6f7', '_getopt_internal', 'local_function', 'function'), ('0x804b380', '0x804b386', 'strncmp', 'local_function', 'function'), ('0x804d170', '0x804d6f7', '_getopt_internal', 'local_function', 'function'), ('0x804d170', '0x804d6f7', '_getopt_internal', 'local_function', 'function'), ('UNKNOWN', -1), ('0x804d170', '0x804d6f7', '_getopt_internal', 'local_function', 'function'), ('0x804d170', '0x804d6f7', '_getopt_internal', 'local_function', 'function'), ('0x804d170', '0x804d6f7', '_getopt_internal', 'local_function', 'function'), ('0x804d170', '0x804d6f7', '_getopt_internal', 'local_function', 'function'), ('0x804d170', '0x804d6f7', '_getopt_internal', 'local_function', 'function'), ('0x804d170', '0x804d6f7', '_getopt_internal', 'local_function', 'function'), ('0x804d170', '0x804d6f7', '_getopt_internal', 'local_function', 'function'), ('0x804d170', '0x804d6f7', '_getopt_internal', 'local_function', 'function'), ('0x804d170', '0x804d6f7', '_getopt_internal', 'local_function', 'function'), ('0x804d170', '0x804d6f7', '_getopt_internal', 'local_function', 'function'), ('0x804d170', '0x804d6f7', '_getopt_internal', 'local_function', 'function'), ('0x804d170', '0x804d6f7', '_getopt_internal', 'local_function', 'function'), ('0x804d170', '0x804d6f7', '_getopt_internal', 'local_function', 'function'), ('0x804d170', '0x804d6f7', '_getopt_internal', 'local_function', 'function'), ('0x804d170', '0x804d6f7', '_getopt_internal', 'local_function', 'function'), ('0x804d170', '0x804d6f7', '_getopt_internal', 'local_function', 'function'), ('UNKNOWN', -1), ('0x804d170', '0x804d6f7', '_getopt_internal', 'local_function', 'function'), ('0x804d170', '0x804d6f7', '_getopt_internal', 'local_function', 'function'), ('0x804d170', '0x804d6f7', '_getopt_internal', 'local_function', 'function'), ('0x8312228', '0x83168dc', '.bss', 'bss', 'unknown'), ('UNKNOWN', -1), ('0x804d170', '0x804d6f7', '_getopt_internal', 'local_function', 'function'), ('0x804d170', '0x804d6f7', '_getopt_internal', 'local_function', 'function'), ('0x804d170', '0x804d6f7', '_getopt_internal', 'local_function', 'function'), ('0x804d170', '0x804d6f7', '_getopt_internal', 'local_function', 'function'), ('0x804d170', '0x804d6f7', '_getopt_internal', 'local_function', 'function'), ('0x804d170', '0x804d6f7', '_getopt_internal', 'local_function', 'function'), ('0x804d170', '0x804d6f7', '_getopt_internal', 'local_function', 'function'), ('0x804d170', '0x804d6f7', '_getopt_internal', 'local_function', 'function'), ('0x804d170', '0x804d6f7', '_getopt_internal', 'local_function', 'function'), ('0x804d170', '0x804d6f7', '_getopt_internal', 'local_function', 'function'), ('0x804d170', '0x804d6f7', '_getopt_internal', 'local_function', 'function'), ('0x804d170', '0x804d6f7', '_getopt_internal', 'local_function', 'function'), ('0x804d170', '0x804d6f7', '_getopt_internal', 'local_function', 'function'), ('0x804d170', '0x804d6f7', '_getopt_internal', 'local_function', 'function'), ('0x804d170', '0x804d6f7', '_getopt_internal', 'local_function', 'function'), ('UNKNOWN', -1), ('0x804d170', '0x804d6f7', '_getopt_internal', 'local_function', 'function'), ('0x804d170', '0x804d6f7', '_getopt_internal', 'local_function', 'function')]"
sub_804d316,[]
sub_804d38d,[]
sub_804d704,[]
my_getopt_long_only,"[('UNKNOWN', -1)]"
sub_804d732,[]
optget,"[('0x804d740', '0x804d7a0', 'optget', 'local_function', 'function'), ('0x804d740', '0x804d7a0', 'optget', 'local_function', 'function'), ('0x804d740', '0x804d7a0', 'optget', 'local_function', 'function'), ('UNKNOWN', -1), ('0x804d740', '0x804d7a0', 'optget', 'local_function', 'function')]"
optfree,"[('0x804d7a0', '0x804d86f', 'optfree', 'local_function', 'function'), ('UNKNOWN', -1), ('0x804d7a0', '0x804d86f', 'optfree', 'local_function', 'function'), ('0x804d7a0', '0x804d86f', 'optfree', 'local_function', 'function'), ('0x804d7a0', '0x804d86f', 'optfree', 'local_function', 'function')]"
sub_804d7f9,[]
sub_804d876,[]
